Rank,Team,Latest results,Upcoming matches,Points
182,Dominica,Friendly 202508 May 2025Dominica0Barbados008 May 2025Friendly 202511 May 2025Dominica0Barbados011 May 2025FIFA World Cup 26™ Concacaf QualifiersGroup E04 June 2025Dominica3British Virgin Islands004 June 2025FIFA World Cup 26™ Concacaf QualifiersGroup E10 June 2025Dominican Republic5Dominica010 June 2025CONCACAF Series 2025/26Group B27 March 2026Guyana2Dominica027 March 2026,,897.69
183,Chad,FIFA World Cup 26™ CAF QualifiersGroup I12 October 2025Chad2Central African Republic312 October 2025Friendly 202514 November 2025Uganda2Chad114 November 2025Friendly 202517 November 2025Chad2Mozambique217 November 2025CAN 2027 Prel. Comp.First Leg27 March 2026Chad0Burundi427 March 2026CAN 2027 Prel. Comp.Second Leg31 March 2026Burundi4Chad031 March 2026,,896.85
184,Eritrea,FIFA WC 2018 Prel. Comp. African ZoneRound One13 October 2015Botswana3Eritrea113 October 2015Preliminary Competition for the 2022 FWC African ZoneRound One04 September 2019Eritrea1Namibia204 September 2019Preliminary Competition for the 2022 FWC African ZoneRound One10 September 2019Namibia2Eritrea010 September 2019CAN 2027 Prel. Comp.First Leg25 March 2026Eritrea2Eswatini025 March 2026CAN 2027 Prel. Comp.Second Leg31 March 2026Eswatini1Eritrea231 March 2026,,887.06
185,Laos,Asian Nations Cup 2027 Prel. Comp.Group F10 June 2025Laos2Nepal110 June 2025Asian Nations Cup 2027 Prel. Comp.Group F09 October 2025Laos0Malaysia309 October 2025Asian Nations Cup 2027 Prel. Comp.Group F14 October 2025Malaysia5Laos114 October 2025Asian Nations Cup 2027 Prel. Comp.Group F19 November 2025Laos0Vietnam219 November 2025Asian Nations Cup 2027 Prel. Comp.Group F31 March 2026Nepal0Laos131 March 2026,,885.03
186,Bhutan,Asian Nations Cup 2027 Prel. Comp.Group B10 June 2025Brunei2Bhutan110 June 2025Asian Nations Cup 2027 Prel. Comp.Group B09 October 2025Lebanon2Bhutan009 October 2025Asian Nations Cup 2027 Prel. Comp.Group B14 October 2025Bhutan0Lebanon414 October 2025Asian Nations Cup 2027 Prel. Comp.Group B18 November 2025Yemen7Bhutan118 November 2025Asian Nations Cup 2027 Prel. Comp.Group B31 March 2026Bhutan2Brunei131 March 2026,CambodiaBhutan04 Jun12:00,880.55
187,Mongolia,Friendly 202411 June 2024Mongolia2Cambodia111 June 2024Asian Nations Cup 2027 Prel. Comp.1st Leg05 September 2024Timor-Leste4Mongolia105 September 2024Asian Nations Cup 2027 Prel. Comp.2nd Leg10 September 2024Mongolia2Timor-Leste010 September 2024East Asian Football Federation Championship 2025Group B08 December 2024Mongolia0Hong Kong308 December 2024East Asian Football Federation Championship 2025Group B11 December 2024Chinese Taipei4Mongolia011 December 2024,SingaporeMongolia31 May11:30,879.75
188,Cook Islands,Pacific Games 2023Play-off 7th placeForfeitedSamoaCook IslandsForfeitedOFC Nations Cup 2024 Prel. Comp.Group Matches22 March 2024Samoa1Cook Islands022 March 2024OFC Nations Cup 2024 Prel. Comp.Group Matches26 March 2024Cook Islands1Tonga026 March 2024FIFA World Cup 26™ OFC QualifiersGroup Matches05 September 2024Cook Islands1Tonga305 September 2024Friendly 202408 September 2024Cook Islands1American Samoa208 September 2024,,877.53
189,Aruba,FIFA World Cup 26™ Concacaf QualifiersGroup C07 June 2025Aruba0Haiti507 June 2025CONCACAF Series 2025/26Group C12 November 2025Antigua and Barbuda0Aruba012 November 2025CONCACAF Series 2025/26Group C15 November 2025Barbados0Aruba315 November 2025FIFA Series 2026™ RwandaSemi-final Group B26 March 2026Aruba4Macau126 March 2026FIFA Series 2026™ RwandaFinal Group B29 March 2026Aruba4Liechtenstein129 March 2026,,877.30
190,Samoa,FIFA World Cup 26™ OFC QualifiersGroup Matches06 September 2024American Samoa0Samoa206 September 2024FIFA World Cup 26™ OFC QualifiersGroup Matches09 September 2024Tonga1Samoa209 September 2024FIFA World Cup 26™ OFC QualifiersGroup B12 October 2024Vanuatu4Samoa112 October 2024FIFA World Cup 26™ OFC QualifiersGroup B15 November 2024Samoa0Tahiti315 November 2024FIFA World Cup 26™ OFC QualifiersGroup B18 November 2024Samoa0New Zealand818 November 2024,,876.41
191,Sri Lanka,Friendly 202509 September 2025Sri Lanka1Maldives109 September 2025Asian Nations Cup 2027 Prel. Comp.Group D09 October 2025Sri Lanka1Turkmenistan009 October 2025Asian Nations Cup 2027 Prel. Comp.Group D14 October 2025Turkmenistan2Sri Lanka114 October 2025Asian Nations Cup 2027 Prel. Comp.Group D18 November 2025Sri Lanka0Thailand418 November 2025Asian Nations Cup 2027 Prel. Comp.Group D31 March 2026Chinese Taipei1Sri Lanka331 March 2026,Sri LankaBhutan08 Jun,871.82
192,American Samoa,Pacific Games 2023Play-off 11th place29 November 2023American Samoa2Tonga629 November 2023FIFA World Cup 26™ OFC QualifiersGroup Matches06 September 2024American Samoa0Samoa206 September 2024Friendly 202408 September 2024Cook Islands1American Samoa208 September 2024FIFA Series 2026™ Puerto RicoSemi-final25 March 2026US Virgin Islands5American Samoa225 March 2026FIFA Series 2026™ Puerto RicoMatch for third place28 March 2026American Samoa0Guam628 March 2026,,871.61
193,Brunei Darussalam,Asian Nations Cup 2027 Prel. Comp.Group B10 June 2025Brunei2Bhutan110 June 2025Asian Nations Cup 2027 Prel. Comp.Group B09 October 2025Brunei0Yemen209 October 2025Asian Nations Cup 2027 Prel. Comp.Group B14 October 2025Yemen9Brunei014 October 2025Asian Nations Cup 2027 Prel. Comp.Group B18 November 2025Brunei0Lebanon318 November 2025Asian Nations Cup 2027 Prel. Comp.Group B31 March 2026Bhutan2Brunei131 March 2026,BruneiTimor-Leste02 Jun09:00,863.09
194,Macau,Asian Nations Cup 2027 Prel. Comp.2nd Leg10 September 2024Macau0Brunei110 September 2024East Asian Football Federation Championship 2025Group A14 December 2024Macau1Guam214 December 2024Friendly 202519 March 2025Hong Kong2Macau019 March 2025FIFA Series 2026™ RwandaSemi-final Group B26 March 2026Aruba4Macau126 March 2026FIFA Series 2026™ RwandaMatch for third place Group B29 March 2026Macau0Tanzania629 March 2026,,858.03
195,Cayman Islands,FIFA World Cup 26™ Concacaf QualifiersGroup A07 June 2025Cayman Islands0Honduras107 June 2025CONCACAF Series 2025/26Group D13 November 2025Cayman Islands1British Virgin Islands213 November 2025CONCACAF Series 2025/26Group D16 November 2025Cayman Islands4Anguilla016 November 2025CONCACAF Series 2025/26Group D27 March 2026Cayman Islands1British Virgin Islands127 March 2026CONCACAF Series 2025/26Group D30 March 2026Cayman Islands1Bahamas030 March 2026,GibraltarCayman Islands06 Jun17:00,855.45
196,São Tomé and Príncipe,FIFA World Cup 26™ CAF QualifiersGroup H09 September 2025Namibia3São Tomé and Príncipe009 September 2025FIFA World Cup 26™ CAF QualifiersGroup H10 October 2025São Tomé and Príncipe0Tunisia610 October 2025FIFA World Cup 26™ CAF QualifiersGroup H13 October 2025São Tomé and Príncipe1Malawi013 October 2025CAN 2027 Prel. Comp.First Leg27 March 2026São Tomé and Príncipe0Ethiopia327 March 2026CAN 2027 Prel. Comp.Second Leg31 March 2026Ethiopia1São Tomé and Príncipe031 March 2026,,855.44
197,Djibouti,FIFA World Cup 26™ CAF QualifiersGroup A08 October 2025Djibouti0Egypt308 October 2025FIFA World Cup 26™ CAF QualifiersGroup A12 October 2025Djibouti1Sierra Leone212 October 2025FIFA Arab Cup Qatar 2025™Play-off26 November 2025Bahrain1Djibouti026 November 2025CAN 2027 Prel. Comp.First Leg26 March 2026Djibouti0South Sudan426 March 2026CAN 2027 Prel. Comp.Second Leg29 March 2026South Sudan0Djibouti129 March 2026,,853.58
198,Somalia,FIFA World Cup 26™ CAF QualifiersGroup G14 October 2025Somalia0Mozambique114 October 2025Friendly 202517 November 2025Bahrain1Somalia217 November 2025FIFA Arab Cup Qatar 2025™Play-off26 November 2025OmanWon 4 - 1 On Penalties0(4)Somalia0(1)26 November 2025CAN 2027 Prel. Comp.First Leg27 March 2026Somalia0Mauritius027 March 2026CAN 2027 Prel. Comp.Second Leg31 March 2026Mauritius0(2)SomaliaWon 4 - 2 On Penalties0(4)31 March 2026,,839.17
199,Tonga,Pacific Games 2023Play-off 11th place29 November 2023American Samoa2Tonga629 November 2023OFC Nations Cup 2024 Prel. Comp.Group Matches20 March 2024Tonga1Samoa420 March 2024OFC Nations Cup 2024 Prel. Comp.Group Matches26 March 2024Cook Islands1Tonga026 March 2024FIFA World Cup 26™ OFC QualifiersGroup Matches05 September 2024Cook Islands1Tonga305 September 2024FIFA World Cup 26™ OFC QualifiersGroup Matches09 September 2024Tonga1Samoa209 September 2024,,835.64
200,Timor-Leste,Asian Nations Cup 2027 Prel. Comp.Group A10 June 2025Timor-Leste1Maldives010 June 2025Asian Nations Cup 2027 Prel. Comp.Group A09 October 2025Timor-Leste1Philippines409 October 2025Asian Nations Cup 2027 Prel. Comp.Group A14 October 2025Philippines3Timor-Leste114 October 2025Asian Nations Cup 2027 Prel. Comp.Group A18 November 2025Timor-Leste0Tajikistan518 November 2025Asian Nations Cup 2027 Prel. Comp.Group A31 March 2026Maldives2Timor-Leste131 March 2026,BruneiTimor-Leste02 Jun09:00,825.64
201,Guam,FIFA World Cup 26™ AFC QualifiersRound One17 October 2023Guam0Singapore117 October 2023East Asian Football Federation Championship 2025Group A14 December 2024Macau1Guam214 December 2024East Asian Football Federation Championship 2025Final17 December 2024Guam0Hong Kong517 December 2024FIFA Series 2026™ Puerto RicoSemi-final26 March 2026Puerto Rico4Guam026 March 2026FIFA Series 2026™ Puerto RicoMatch for third place28 March 2026American Samoa0Guam628 March 2026,PhilippinesGuam03 Jun11:30,825.43
202,Pakistan,Asian Nations Cup 2027 Prel. Comp.Group E10 June 2025Myanmar1Pakistan010 June 2025Asian Nations Cup 2027 Prel. Comp.Group E09 October 2025Pakistan0Afghanistan009 October 2025Asian Nations Cup 2027 Prel. Comp.Group E14 October 2025Afghanistan1Pakistan114 October 2025Asian Nations Cup 2027 Prel. Comp.Group E18 November 2025Pakistan0Syria518 November 2025Asian Nations Cup 2027 Prel. Comp.Group E31 March 2026Pakistan1Myanmar231 March 2026,PakistanBangladesh01 Jun11:00,824.60
203,Gibraltar,FIFA World Cup 26™ UEFA QualifiersGroup L12 October 2025Croatia3Gibraltar012 October 2025FIFA World Cup 26™ UEFA QualifiersGroup L14 November 2025Gibraltar1Montenegro214 November 2025FIFA World Cup 26™ UEFA QualifiersGroup L17 November 2025Czechia6Gibraltar017 November 2025UEFA Nations League 2024/25League C vs League D26 March 2026Gibraltar0Latvia126 March 2026UEFA Nations League 2024/25League C vs League D31 March 2026Latvia1Gibraltar031 March 2026,GibraltarBritish Virgin Islands03 Jun17:00,810.14
204,Seychelles,FIFA World Cup 26™ CAF QualifiersGroup F09 September 2025Kenya5Seychelles009 September 2025FIFA World Cup 26™ CAF QualifiersGroup F10 October 2025Seychelles0Côte d'Ivoire710 October 2025FIFA World Cup 26™ CAF QualifiersGroup F14 October 2025Seychelles0The Gambia714 October 2025CAN 2027 Prel. Comp.First Leg26 March 2026Seychelles0Lesotho026 March 2026CAN 2027 Prel. Comp.Second Leg29 March 2026Lesotho2Seychelles129 March 2026,,804.16
205,Turks and Caicos Islands,FIFA World Cup 26™ Concacaf QualifiersFirst Round26 March 2024Turks and Caicos Islands1(3)AnguillaWon 4 - 3 On Penalties1(4)26 March 2024CONCACAF Nations League 2024/25Group B04 September 2024Anguilla2Turks and Caicos Islands004 September 2024CONCACAF Nations League 2024/25Group B07 September 2024Turks and Caicos Islands0Belize407 September 2024CONCACAF Nations League 2024/25Group B13 October 2024Turks and Caicos Islands2Anguilla113 October 2024CONCACAF Nations League 2024/25Group B16 October 2024Belize3Turks and Caicos Islands016 October 2024,,803.98
206,Liechtenstein,Friendly 202513 October 2025Montenegro2Liechtenstein113 October 2025FIFA World Cup 26™ UEFA QualifiersGroup J15 November 2025Liechtenstein0Wales115 November 2025FIFA World Cup 26™ UEFA QualifiersGroup J18 November 2025Belgium7Liechtenstein018 November 2025FIFA Series 2026™ RwandaSemi-final Group B26 March 2026Tanzania0Liechtenstein126 March 2026FIFA Series 2026™ RwandaFinal Group B29 March 2026Aruba4Liechtenstein129 March 2026,AndorraLiechtenstein04 Jun17:00,803.57
207,Bahamas,FIFA World Cup 26™ Concacaf QualifiersGroup B07 June 2025Bahamas0Costa Rica807 June 2025CONCACAF Series 2025/26Group D12 November 2025Bahamas1Anguilla212 November 2025CONCACAF Series 2025/26Group D15 November 2025Bahamas0British Virgin Islands615 November 2025CONCACAF Series 2025/26Group D26 March 2026Bahamas1Anguilla326 March 2026CONCACAF Series 2025/26Group D30 March 2026Cayman Islands1Bahamas030 March 2026,,786.82
208,British Virgin Islands,Friendly 202508 October 2025Grenada4British Virgin Islands108 October 2025CONCACAF Series 2025/26Group D13 November 2025Cayman Islands1British Virgin Islands213 November 2025CONCACAF Series 2025/26Group D15 November 2025Bahamas0British Virgin Islands615 November 2025CONCACAF Series 2025/26Group D27 March 2026Cayman Islands1British Virgin Islands127 March 2026CONCACAF Series 2025/26Group D29 March 2026British Virgin Islands4Anguilla029 March 2026,GibraltarBritish Virgin Islands03 Jun17:00,782.14
209,US Virgin Islands,CONCACAF Nations League 2024/25Group A10 October 2024US Virgin Islands0Barbados510 October 2024CONCACAF Nations League 2024/25Group A13 October 2024Bahamas3US Virgin Islands113 October 2024Friendly 202515 November 2025Grenada4US Virgin Islands115 November 2025FIFA Series 2026™ Puerto RicoSemi-final25 March 2026US Virgin Islands5American Samoa225 March 2026FIFA Series 2026™ Puerto RicoFinal29 March 2026US Virgin Islands0Puerto Rico229 March 2026,,779.76
210,Anguilla,FIFA World Cup 26™ Concacaf QualifiersGroup F07 June 2025Anguilla0El Salvador307 June 2025CONCACAF Series 2025/26Group D12 November 2025Bahamas1Anguilla212 November 2025CONCACAF Series 2025/26Group D16 November 2025Cayman Islands4Anguilla016 November 2025CONCACAF Series 2025/26Group D26 March 2026Bahamas1Anguilla326 March 2026CONCACAF Series 2025/26Group D29 March 2026British Virgin Islands4Anguilla029 March 2026,,760.25
211,San Marino,FIFA World Cup 26™ UEFA QualifiersGroup H12 October 2025San Marino0Cyprus412 October 2025Friendly 202513 November 2025Czechia1San Marino013 November 2025FIFA World Cup 26™ UEFA QualifiersGroup H18 November 2025Romania7San Marino118 November 2025Friendly 202628 March 2026San Marino1Faroe Islands228 March 2026Friendly 202631 March 2026San Marino0Andorra031 March 2026,San MarinoBangladesh05 Jun17:00,726.33
